Sample.ID,Site,Transect,Diameter.1,Diameter.2,Diameter.3,Diameter.mean,Note
2284,S11,T1,1.311,1.081,0.775,1.055666667,
2285,S11,T1,1.573,1.885,1.365,1.607666667,
2286,S11,T1,0.942,0.919,0.412,0.757666667,
2287,S11,T1,15.604,14.829,11.09,13.841,
2288,S11,T1,22.05,21.69,21.756,21.832,
2289,S11,T1,15.653,15.632,7.023,12.76933333,
2290,S11,T1,0.931,0.963,0.79,0.894666667,
2291,S11,T1,15.28,17.358,10.335,14.32433333,
2292,S11,T1,6.792,6.229,3.749,5.59,
2293,S11,T1,8.338,7.476,6.145,7.319666667,
2294,S11,T1,10.303,11.088,7.789,9.726666667,
2295,S11,T1,0.957,0.83,0.468,0.751666667,
2296,S11,T1,1.49,1.576,0.886,1.317333333,
2297,S11,T1,0.855,0.885,0.396,0.712,
2298,S11,T1,2.179,1.621,1.807,1.869,
2299,S11,T1,2.24,2.325,2.256,2.273666667,
2300,S11,T1,0.446,0.558,0.386,0.463333333,
2301,S11,T1,11.695,14.261,11.975,12.64366667,
2302,S11,T1,10.872,12.051,9.572,10.83166667,
2303,S11,T1,1.739,1.629,1.353,1.573666667,
2304,S11,T1,2.748,2.563,2.313,2.541333333,
2305,S11,T1,5.085,5.075,4.381,4.847,
2306,S11,T1,0.717,0.908,0.53,0.718333333,
2307,S11,T1,1.271,1.169,0.772,1.070666667,
2308,S11,T1,0.929,0.992,0.525,0.815333333,
2309,S11,T1,0.871,0.695,0.327,0.631,
2310,S11,T1,1.433,1.499,0.965,1.299,
2311,S11,T1,1.978,2.141,1.898,2.005666667,
2312,S11,T1,0.626,0.937,0.301,0.621333333,
2313,S11,T1,2.231,2.19,1.863,2.094666667,
2314,S11,T1,1.629,1.144,0.875,1.216,
2315,S11,T1,0.528,0.435,0.433,0.465333333,
2316,S11,T1,20.738,20.666,19.818,20.40733333,
2317,S11,T1,12.012,13.182,10.553,11.91566667,
2318,S11,T1,1.52,1.517,1.05,1.362333333,
2319,S11,T1,0.976,1.122,0.561,0.886333333,
2320,S11,T1,0.736,0.778,0.511,0.675,
2321,S11,T1,7.675,6.21,4.423,6.102666667,
2322,S11,T1,13.144,12.038,13.628,12.93666667,
2323,S11,T1,150,150,150,150,
2324,S11,T1,1.116,1.15,0.635,0.967,
2105,S11,T2,1.219,1.398,1.127,1.248,
2106,S11,T2,8.253,7.967,5.237,7.152333333,
2107,S11,T2,16.406,14.164,9.53,13.36666667,
2108,S11,T2,150,150,150,150,
2109,S11,T2,150,150,150,150,
2110,S11,T2,16.236,14.102,11.909,14.08233333,
2111,S11,T2,21.829,20.528,21.589,21.31533333,
2112,S11,T2,9.222,9.468,5.836,8.175333333,
2113,S11,T2,1.187,1.283,1.154,1.208,
2114,S11,T2,23.126,19.142,15.273,19.18033333,
2115,S11,T2,1.302,1.337,1.023,1.220666667,
2116,S11,T2,0.924,0.916,0.549,0.796333333,
2117,S11,T2,0.658,0.579,0.334,0.523666667,
2118,S11,T2,10.059,9.303,9.716,9.692666667,
2119,S11,T2,1.114,0.861,0.295,0.756666667,
2120,S11,T2,22.724,16.462,13.386,17.524,
2121,S11,T2,9.289,2.243,9.518,7.016666667,
2122,S11,T2,1.879,2.096,1.729,1.901333333,
2123,S11,T2,1.815,1.424,1.317,1.518666667,
2124,S11,T2,6.355,6.434,3.566,5.451666667,
2125,S11,T2,0.916,0.83,0.347,0.697666667,
2126,S11,T2,0.487,0.518,0.464,0.489666667,
2127,S11,T2,6.066,5.722,2.455,4.747666667,
2128,S11,T2,4.332,3.377,2.41,3.373,
2129,S11,T2,5.022,6.51,4.323,5.285,
2130,S11,T2,9.487,8.805,4.457,7.583,
2131,S11,T2,30.478,28.318,22.803,27.19966667,
2132,S11,T2,6.937,6.491,4.733,6.053666667,
2133,S11,T2,6.877,5.577,2.718,5.057333333,
2134,S11,T2,0.77,0.771,0.555,0.698666667,
2135,S11,T2,16.671,16.634,14.365,15.89,
2136,S11,T2,0.483,0.673,0.375,0.510333333,
2137,S11,T2,28.938,28.588,11.235,22.92033333,
2138,S11,T2,150,150,150,150,
2139,S11,T2,2.534,2.116,2.133,2.261,
2140,S11,T2,0.937,0.763,0.768,0.822666667,
2141,S11,T2,1.487,1.744,1.102,1.444333333,
2142,S11,T2,0.896,1.112,0.892,0.966666667,
2143,S11,T2,19.957,19.566,18.394,19.30566667,
2144,S11,T2,1.514,1.564,1.026,1.368,
2145,S11,T2,12.088,11.037,11.044,11.38966667,
2146,S11,T2,0.586,0.758,0.436,0.593333333,
2147,S11,T2,16.65,11.45,7.42,11.84,
2149,S11,T2,1.067,0.895,0.653,0.871666667,
2151,S11,T2,23.974,22.943,13.597,20.17133333,
2152,S11,T2,0.899,0.996,0.667,0.854,
2153,S11,T2,3.138,3.552,2.544,3.078,
2154,S11,T2,2.784,2.633,2.779,2.732,
2155,S11,T2,4.225,3.846,2.929,3.666666667,
2156,S11,T2,5.94,6.377,4.239,5.518666667,
2157,S11,T2,1.426,1.462,1.283,1.390333333,
2158,S11,T2,2.116,2.114,2.339,2.189666667,
2159,S11,T2,20.522,20.579,22.149,21.08333333,
2170,S11,T2,11.038,9.12,5.517,8.558333333,
2227,S11,T2,1.337,0.921,0.799,1.019,
