site,time_utc,time_local,temperature_c
B23,2023-07-31 02:15:59,2023-07-30 16:15:59,27.1418
B23,2023-07-31 02:17:59,2023-07-30 16:17:59,27.1342
B23,2023-07-31 02:19:59,2023-07-30 16:19:59,27.1472
B23,2023-07-31 02:21:59,2023-07-30 16:21:59,27.1336
B23,2023-07-31 02:23:59,2023-07-30 16:23:59,27.1354
B23,2023-07-31 02:25:59,2023-07-30 16:25:59,27.1418
B23,2023-07-31 02:27:59,2023-07-30 16:27:59,27.1377
B23,2023-07-31 02:29:59,2023-07-30 16:29:59,27.1332
B23,2023-07-31 02:31:59,2023-07-30 16:31:59,27.1207
B23,2023-07-31 02:33:59,2023-07-30 16:33:59,27.121
B23,2023-07-31 02:35:59,2023-07-30 16:35:59,27.1195
B23,2023-07-31 02:37:59,2023-07-30 16:37:59,27.1239
B23,2023-07-31 02:39:59,2023-07-30 16:39:59,27.1119
B23,2023-07-31 02:41:59,2023-07-30 16:41:59,27.1075
B23,2023-07-31 02:43:59,2023-07-30 16:43:59,27.1082
B23,2023-07-31 02:45:59,2023-07-30 16:45:59,27.0963
B23,2023-07-31 02:47:59,2023-07-30 16:47:59,27.0924
B23,2023-07-31 02:49:59,2023-07-30 16:49:59,27.0865
B23,2023-07-31 02:51:59,2023-07-30 16:51:59,27.0876
B23,2023-07-31 02:53:59,2023-07-30 16:53:59,27.0787
B23,2023-07-31 02:55:59,2023-07-30 16:55:59,27.072
B23,2023-07-31 02:57:59,2023-07-30 16:57:59,27.0753
B23,2023-07-31 02:59:59,2023-07-30 16:59:59,27.0581
B23,2023-07-31 03:01:59,2023-07-30 17:01:59,27.066
B23,2023-07-31 03:03:59,2023-07-30 17:03:59,27.0559
B23,2023-07-31 03:05:59,2023-07-30 17:05:59,27.0462
B23,2023-07-31 03:07:59,2023-07-30 17:07:59,27.0413
B23,2023-07-31 03:09:59,2023-07-30 17:09:59,27.0488
B23,2023-07-31 03:11:59,2023-07-30 17:11:59,27.0381
B23,2023-07-31 03:13:59,2023-07-30 17:13:59,27.0381
B23,2023-07-31 03:15:59,2023-07-30 17:15:59,27.0339
B23,2023-07-31 03:17:59,2023-07-30 17:17:59,27.0243
B23,2023-07-31 03:19:59,2023-07-30 17:19:59,27.0151
B23,2023-07-31 03:21:59,2023-07-30 17:21:59,27.0143
B23,2023-07-31 03:23:59,2023-07-30 17:23:59,27.0138
B23,2023-07-31 03:25:59,2023-07-30 17:25:59,27.0106
B23,2023-07-31 03:27:59,2023-07-30 17:27:59,27.0037
B23,2023-07-31 03:29:59,2023-07-30 17:29:59,27.0024
B23,2023-07-31 03:31:59,2023-07-30 17:31:59,26.9991
B23,2023-07-31 03:33:59,2023-07-30 17:33:59,26.9971
B23,2023-07-31 03:35:59,2023-07-30 17:35:59,26.991
B23,2023-07-31 03:37:59,2023-07-30 17:37:59,26.9851
B23,2023-07-31 03:39:59,2023-07-30 17:39:59,26.9856
B23,2023-07-31 03:41:59,2023-07-30 17:41:59,26.9811
B23,2023-07-31 03:43:59,2023-07-30 17:43:59,26.9822
B23,2023-07-31 03:45:59,2023-07-30 17:45:59,26.9776
B23,2023-07-31 03:47:59,2023-07-30 17:47:59,26.9758
B23,2023-07-31 03:49:59,2023-07-30 17:49:59,26.9733
B23,2023-07-31 03:51:59,2023-07-30 17:51:59,26.9693
B23,2023-07-31 03:53:59,2023-07-30 17:53:59,26.9689
B23,2023-07-31 03:55:59,2023-07-30 17:55:59,26.9643
B23,2023-07-31 03:57:59,2023-07-30 17:57:59,26.9598
B23,2023-07-31 03:59:59,2023-07-30 17:59:59,26.9566
B23,2023-07-31 04:01:59,2023-07-30 18:01:59,26.9565
B23,2023-07-31 04:03:59,2023-07-30 18:03:59,26.9554
B23,2023-07-31 04:05:59,2023-07-30 18:05:59,26.953
B23,2023-07-31 04:07:59,2023-07-30 18:07:59,26.9473
B23,2023-07-31 04:09:59,2023-07-30 18:09:59,26.9493
B23,2023-07-31 04:11:59,2023-07-30 18:11:59,26.9442
B23,2023-07-31 04:13:59,2023-07-30 18:13:59,26.9452
B23,2023-07-31 04:15:59,2023-07-30 18:15:59,26.9439
B23,2023-07-31 04:17:59,2023-07-30 18:17:59,26.9412
B23,2023-07-31 04:19:59,2023-07-30 18:19:59,26.9409
B23,2023-07-31 04:21:59,2023-07-30 18:21:59,26.9388
B23,2023-07-31 04:23:59,2023-07-30 18:23:59,26.938
B23,2023-07-31 04:25:59,2023-07-30 18:25:59,26.9357
B23,2023-07-31 04:27:59,2023-07-30 18:27:59,26.9343
B23,2023-07-31 04:29:59,2023-07-30 18:29:59,26.9354
B23,2023-07-31 04:31:59,2023-07-30 18:31:59,26.9305
B23,2023-07-31 04:33:59,2023-07-30 18:33:59,26.9307
B23,2023-07-31 04:35:59,2023-07-30 18:35:59,26.9279
B23,2023-07-31 04:37:59,2023-07-30 18:37:59,26.9285
B23,2023-07-31 04:39:59,2023-07-30 18:39:59,26.9235
B23,2023-07-31 04:41:59,2023-07-30 18:41:59,26.9223
B23,2023-07-31 04:43:59,2023-07-30 18:43:59,26.9193
B23,2023-07-31 04:45:59,2023-07-30 18:45:59,26.9138
B23,2023-07-31 04:47:59,2023-07-30 18:47:59,26.9168
B23,2023-07-31 04:49:59,2023-07-30 18:49:59,26.912
B23,2023-07-31 04:51:59,2023-07-30 18:51:59,26.9123
B23,2023-07-31 04:53:59,2023-07-30 18:53:59,26.9109
B23,2023-07-31 04:55:59,2023-07-30 18:55:59,26.9081
B23,2023-07-31 04:57:59,2023-07-30 18:57:59,26.9049
B23,2023-07-31 04:59:59,2023-07-30 18:59:59,26.9056
B23,2023-07-31 05:01:59,2023-07-30 19:01:59,26.905
B23,2023-07-31 05:03:59,2023-07-30 19:03:59,26.903
B23,2023-07-31 05:05:59,2023-07-30 19:05:59,26.9038
B23,2023-07-31 05:07:59,2023-07-30 19:07:59,26.9065
B23,2023-07-31 05:09:59,2023-07-30 19:09:59,26.9009
B23,2023-07-31 05:11:59,2023-07-30 19:11:59,26.907
B23,2023-07-31 05:13:59,2023-07-30 19:13:59,26.904
B23,2023-07-31 05:15:59,2023-07-30 19:15:59,26.9085
B23,2023-07-31 05:17:59,2023-07-30 19:17:59,26.9063
B23,2023-07-31 05:19:59,2023-07-30 19:19:59,26.9056
B23,2023-07-31 05:21:59,2023-07-30 19:21:59,26.9002
B23,2023-07-31 05:23:59,2023-07-30 19:23:59,26.8997
B23,2023-07-31 05:25:59,2023-07-30 19:25:59,26.8968
B23,2023-07-31 05:27:59,2023-07-30 19:27:59,26.8935
B23,2023-07-31 05:29:59,2023-07-30 19:29:59,26.896
B23,2023-07-31 05:31:59,2023-07-30 19:31:59,26.892
B23,2023-07-31 05:33:59,2023-07-30 19:33:59,26.8901
B23,2023-07-31 05:35:59,2023-07-30 19:35:59,26.8873
B23,2023-07-31 05:37:59,2023-07-30 19:37:59,26.8874
B23,2023-07-31 05:39:59,2023-07-30 19:39:59,26.8872
B23,2023-07-31 05:41:59,2023-07-30 19:41:59,26.8862
B23,2023-07-31 05:43:59,2023-07-30 19:43:59,26.8865
B23,2023-07-31 05:45:59,2023-07-30 19:45:59,26.8841
B23,2023-07-31 05:47:59,2023-07-30 19:47:59,26.884
B23,2023-07-31 05:49:59,2023-07-30 19:49:59,26.8818
B23,2023-07-31 05:51:59,2023-07-30 19:51:59,26.8768
B23,2023-07-31 05:53:59,2023-07-30 19:53:59,26.8811
B23,2023-07-31 05:55:59,2023-07-30 19:55:59,26.8804
B23,2023-07-31 05:57:59,2023-07-30 19:57:59,26.8811
B23,2023-07-31 05:59:59,2023-07-30 19:59:59,26.8812
B23,2023-07-31 06:01:59,2023-07-30 20:01:59,26.8824
B23,2023-07-31 06:03:59,2023-07-30 20:03:59,26.8787
B23,2023-07-31 06:05:59,2023-07-30 20:05:59,26.876
B23,2023-07-31 06:07:59,2023-07-30 20:07:59,26.8728
B23,2023-07-31 06:09:59,2023-07-30 20:09:59,26.8698
