Date_french_format,Number,Stage,Timing,Site,Transect,ID,Replicate,Data,Backup,Quantity_DNA._RNA._shield_Data.ml.,Quantity_DNA._RNA._shield_backup.ml.,Box_name_Data,Box_name_backup,Freezer_US_tubes,Freezer_backup_moorea,Wirlpak,Picture,Picture_name,Recruit_size_cm2,Red_standard,Green_standard,Blue_standard,Red_coral,Green_coral,Blue_coral,Scleractinian.corals,Macroalgae,Crustose.coralline.algae,Algal.turf,Millepora,Sand,dalle_coralienne,Others,Note1,gDNA.Extraction.Date,gDNA.Extraction.Plate,Plate.Well,Priority,Haplotype ,Note2,Extraction.Notebook.Link
20/02/2023,1255,Adult,Pre_bleach,S1,T1,POC_ID,2,1,1,0.5,0.5,Site_1,Site_1_backup,_20__C,_40_up,YES,YES,1255_S1_T1,NA,NA,,NA,NA,NA,NA,0,0,0,0,0,0,0,0,,,Plate002,G3,,,,https://hputnam.github.io/Putnam_Lab_Notebook/PocID_COTS_RAPID_Plate002_003/
20/02/2023,1256,Recruit,Pre_bleach,S1,T1,POC_ID,2,1,1,0.5,0.5,Site_1,Site_1_backup,_20__C,_40_up,YES,YES,1256_S1_T1,1.228,NA,,NA,NA,NA,NA,0,1,0,0,0,0,0,0,,,Plate002,D3,,,,https://hputnam.github.io/Putnam_Lab_Notebook/PocID_COTS_RAPID_Plate002_003/
20/02/2023,1257,Recruit,Pre_bleach,S1,T1,POC_ID,2,1,1,0.5,0.5,Site_1,Site_1_backup,_20__C,_40_up,YES,YES,1257_S1_T1,1.981,NA,,NA,NA,NA,NA,0,0,0,1,0,0,0,0,,,Plate002,C5,,,,https://hputnam.github.io/Putnam_Lab_Notebook/PocID_COTS_RAPID_Plate002_003/
20/02/2023,1258,Recruit,Pre_bleach,S1,T1,POC_ID,1,1,0,0.5,NA,Site_1,NA,_20__C,NA,NO,YES,1258_S1_T1,0.295,NA,,NA,NA,NA,NA,0,0,0,1,0,0,0,0,,,Plate002,A11,,,,https://hputnam.github.io/Putnam_Lab_Notebook/PocID_COTS_RAPID_Plate002_003/
20/02/2023,1259,Adult,Pre_bleach,S1,T1,POC_ID,2,1,1,0.5,0.5,Site_1,Site_1_backup,_20__C,_40_up,YES,YES,1259_S1_T1,NA,NA,,NA,NA,NA,NA,0,0,0,0,0,0,0,0,,,Plate002,G4,,,,https://hputnam.github.io/Putnam_Lab_Notebook/PocID_COTS_RAPID_Plate002_003/
20/02/2023,1260,Recruit,Pre_bleach,S1,T1,POC_ID,1,1,0,0.5,NA,Site_1,NA,_20__C,NA,NO,YES,1260_S1_T1,0.842,NA,,NA,NA,NA,NA,0,1,0,0,0,0,0,0,,,Plate002,F6,,,,https://hputnam.github.io/Putnam_Lab_Notebook/PocID_COTS_RAPID_Plate002_003/
20/02/2023,1232,Adult,Pre_bleach,S1,T2,POC_ID,2,1,1,0.5,0.5,Site_1,Site_1_backup,_20__C,_40_up,YES,YES,1232_S1_T2,NA,NA,,NA,NA,NA,NA,0,0,0,0,0,0,0,0,,,Plate002,G9,,,,https://hputnam.github.io/Putnam_Lab_Notebook/PocID_COTS_RAPID_Plate002_003/
20/02/2023,1233,Recruit,Pre_bleach,S1,T2,POC_ID,2,1,1,0.5,0.5,Site_1,Site_1_backup,_20__C,_40_up,YES,YES,1233_S1_T2,8.487,NA,,NA,NA,NA,NA,0,1,0,1,0,0,0,0,,,Plate002,F12,,,,https://hputnam.github.io/Putnam_Lab_Notebook/PocID_COTS_RAPID_Plate002_003/
20/02/2023,1234,Recruit,Pre_bleach,S1,T2,POC_ID,2,1,1,0.5,0.5,Site_1,Site_1_backup,_20__C,_40_up,YES,YES,1234_S1_T2,1.476,NA,,NA,NA,NA,NA,0,0,0,1,0,0,0,0,,,Plate002,C3,,,,https://hputnam.github.io/Putnam_Lab_Notebook/PocID_COTS_RAPID_Plate002_003/
20/02/2023,1235,Adult,Pre_bleach,S1,T2,POC_ID,2,1,1,0.5,0.5,Site_1,Site_1_backup,_20__C,_40_up,YES,YES,1235_S1_T2,NA,NA,,NA,NA,NA,NA,0,0,0,0,0,0,0,0,,,Plate002,C12,,,,https://hputnam.github.io/Putnam_Lab_Notebook/PocID_COTS_RAPID_Plate002_003/
