Collection.Date,Sample.ID,Stage,Site,Transect
18/06/2023,2314,Recruit,S11,T1
18/06/2023,2315,Recruit,S11,T1
18/06/2023,2316,Adult,S11,T1
18/06/2023,2317,Adult,S11,T1
18/06/2023,2318,Recruit,S11,T1
18/06/2023,2319,Recruit,S11,T1
18/06/2023,2320,Recruit,S11,T1
18/06/2023,2321,Adult,S11,T1
18/06/2023,2322,Adult,S11,T1
18/06/2023,2323,Adult,S11,T1
18/06/2023,2324,Recruit,S11,T1
19/06/2023,2105,Recruit,S11,T2
19/06/2023,2106,Adult,S11,T2
19/06/2023,2107,Adult,S11,T2
19/06/2023,2108,Adult,S11,T2
19/06/2023,2109,Adult,S11,T2
19/06/2023,2110,Adult,S11,T2
19/06/2023,2111,Adult,S11,T2
19/06/2023,2112,Adult,S11,T2
19/06/2023,2113,Recruit,S11,T2
19/06/2023,2114,Adult,S11,T2
19/06/2023,2115,Recruit,S11,T2
19/06/2023,2116,Recruit,S11,T2
19/06/2023,2117,Recruit,S11,T2
19/06/2023,2118,Adult,S11,T2
19/06/2023,2119,Recruit,S11,T2
19/06/2023,2120,Adult,S11,T2
19/06/2023,2121,Adult,S11,T2
19/06/2023,2122,Recruit,S11,T2
19/06/2023,2123,Recruit,S11,T2
19/06/2023,2124,Adult,S11,T2
19/06/2023,2125,Recruit,S11,T2
19/06/2023,2126,Recruit,S11,T2
19/06/2023,2127,Recruit,S11,T2
19/06/2023,2128,Recruit,S11,T2
19/06/2023,2129,Adult,S11,T2
19/06/2023,2130,Adult,S11,T2
19/06/2023,2131,Adult,S11,T2
19/06/2023,2132,Adult,S11,T2
19/06/2023,2133,Adult,S11,T2
19/06/2023,2134,Recruit,S11,T2
19/06/2023,2135,Adult,S11,T2
19/06/2023,2136,Recruit,S11,T2
19/06/2023,2137,Adult,S11,T2
19/06/2023,2138,Adult,S11,T2
19/06/2023,2139,Recruit,S11,T2
19/06/2023,2140,Recruit,S11,T2
19/06/2023,2141,Recruit,S11,T2
19/06/2023,2142,Recruit,S11,T2
19/06/2023,2143,Adult,S11,T2
19/06/2023,2144,Recruit,S11,T2
19/06/2023,2145,Adult,S11,T2
19/06/2023,2146,Recruit,S11,T2
19/06/2023,2147,Adult,S11,T2
19/06/2023,2149,Recruit,S11,T2
19/06/2023,2151,Adult,S11,T2
19/06/2023,2152,Recruit,S11,T2
19/06/2023,2153,Recruit,S11,T2
19/06/2023,2154,Recruit,S11,T2
19/06/2023,2155,Recruit,S11,T2
19/06/2023,2156,Adult,S11,T2
19/06/2023,2157,Recruit,S11,T2
19/06/2023,2158,Recruit,S11,T2
19/06/2023,2159,Adult,S11,T2
19/06/2023,2170,Adult,S11,T2
19/06/2023,2227,Recruit,S11,T2
19/06/2023,2228,Adult,S11,T2
19/12/2023,2507,Adult,S11,T3
19/12/2023,2508,Recruit,S11,T3
19/12/2023,2509,Recruit,S11,T3
19/12/2023,2510,Adult,S11,T3
19/12/2023,2511,Recruit,S11,T3
19/12/2023,2512,Adult,S11,T3
19/12/2023,2513,Adult,S11,T3
19/12/2023,2514,Recruit,S11,T3
19/12/2023,2515,Recruit,S11,T3
19/12/2023,2516,Recruit,S11,T3
19/12/2023,2517,Recruit,S11,T3
19/12/2023,2518,Recruit,S11,T3
19/12/2023,2519,Adult,S11,T3
19/12/2023,2520,Adult,S11,T3
19/12/2023,2521,Adult,S11,T3
19/12/2023,2522,Adult,S11,T3
19/12/2023,2523,Recruit,S11,T3
19/12/2023,2524,Recruit,S11,T3
19/12/2023,2525,Recruit,S11,T3
19/12/2023,2526,Adult,S11,T3
19/12/2023,2527,Recruit,S11,T3
19/12/2023,2531,Adult,S11,T3
19/12/2023,2533,Adult,S11,T3
19/12/2023,2539,Adult,S11,T3
19/12/2023,2540,Adult,S11,T3
19/12/2023,2541,Adult,S11,T3
19/12/2023,2542,Adult,S11,T3
19/12/2023,2543,Recruit,S11,T3
19/12/2023,2544,Recruit,S11,T3
19/12/2023,2545,Recruit,S11,T3
19/12/2023,2546,Adult,S11,T3
19/12/2023,2547,Recruit,S11,T3
19/12/2023,2548,Adult,S11,T3
19/12/2023,2549,Recruit,S11,T3
19/12/2023,2550,Adult,S11,T3
19/12/2023,2551,Recruit,S11,T3
19/12/2023,2528,Adult,S11,T4
