Plate.Well,gDNA.Extraction.Plate,Sample.ID
C4,Plate003,
D4,Plate003,
E4,Plate003,
F4,Plate003,
G4,Plate003,
H4,Plate003,
A5,Plate003,
B5,Plate003,
C5,Plate003,
D5,Plate003,
E5,Plate003,
F5,Plate003,
G5,Plate003,
H5,Plate003,
A6,Plate003,
B6,Plate003,
C6,Plate003,
D6,Plate003,
E6,Plate003,
F6,Plate003,
G6,Plate003,
H6,Plate003,
A7,Plate003,
B7,Plate003,
C7,Plate003,
D7,Plate003,
E7,Plate003,
F7,Plate003,
G7,Plate003,
H7,Plate003,
A8,Plate003,
B8,Plate003,
C8,Plate003,
D8,Plate003,
E8,Plate003,
F8,Plate003,
G8,Plate003,
H8,Plate003,
A9,Plate003,
B9,Plate003,
C9,Plate003,
D9,Plate003,
E9,Plate003,
F9,Plate003,
G9,Plate003,
H9,Plate003,
A10,Plate003,
B10,Plate003,
C10,Plate003,
D10,Plate003,
E10,Plate003,
F10,Plate003,
G10,Plate003,
H10,Plate003,
A11,Plate003,
B11,Plate003,
C11,Plate003,
D11,Plate003,
E11,Plate003,
F11,Plate003,
G11,Plate003,
H11,Plate003,
A12,Plate003,
B12,Plate003,
C12,Plate003,
D12,Plate003,
E12,Plate003,
F12,Plate003,
G12,Plate003,
H12,Plate003,
