"","Date_french_format","Number.x","Stage","Site","Transect","ID","Replicate","Data","Backup","Quantity_DNA._RNA._shield_Data.ml.","Quantity_DNA._RNA._shield_backup.ml.","Box_name_Data","Box_name_backup","Freezer_US_tubes","Freezer_backup_moorea","Wirlpak","Picture","Picture_name","Recruit_size_cm2","Red_standard","Green_standard","Blue_standard","Red_coral","Green_coral","Blue_coral","Scleractinian.corals","Macroalgae","Crustose.coralline.algae","Algal.turf","Millepora","Sand","dalle_coralienne","Others","Note1","gDNA.Extraction.Date","gDNA.Extraction.Plate.x","Plate.Well","Priority","Haplotype","Note2","Extraction.Notebook.Link","IDS","Number.y","gDNA.Extraction.Plate.y","Well","X","X.1","X.2","X.3","X.4","X.5"
"13","20/02/2023","1251","Recruit","S1","T1","POC_ID",2,1,1,0.5,0.5,"Site_1","Site_1_backup","_20__C","_40_up","NO","YES","1251_S1_T1",1.346,NA,"",NA,NA,NA,NA,1,0,0,1,0,0,0,0,"",NA,"Plate002","E1",NA,"","","https://hputnam.github.io/Putnam_Lab_Notebook/PocID_COTS_RAPID_Plate002_003/","1251_Plate002",NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","20/02/2023","1252","Adult","S1","T1","POC_ID",2,1,1,1,0.5,"Site_1","Site_1_backup","_20__C","_40_up","YES","YES","1252_S1_T1",NA,NA,"",NA,NA,NA,NA,0,0,0,0,0,0,0,0,"",NA,"Plate002","B9",NA,"","","https://hputnam.github.io/Putnam_Lab_Notebook/PocID_COTS_RAPID_Plate002_003/","1252_Plate002",NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","20/02/2023","1253","Recruit","S1","T1","POC_ID",2,1,1,0.5,0.5,"Site_1","Site_1_backup","_20__C","_40_up","YES","YES","1253_S1_T1",4.077,NA,"",NA,NA,NA,NA,0,1,1,0,0,0,0,0,"",NA,"Plate002","D12",NA,"","","https://hputnam.github.io/Putnam_Lab_Notebook/PocID_COTS_RAPID_Plate002_003/","1253_Plate002",NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","20/02/2023","1254","Recruit","S1","T1","POC_ID",1,1,0,0.5,NA,"Site_1",NA,"_20__C",NA,"NO","YES","1254_S1_T1",0.052,NA,"",NA,NA,NA,NA,0,0,0,1,0,0,0,0,"",NA,"Plate002","E10",NA,"","","https://hputnam.github.io/Putnam_Lab_Notebook/PocID_COTS_RAPID_Plate002_003/","1254_Plate002",NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","20/02/2023","1255","Adult","S1","T1","POC_ID",2,1,1,0.5,0.5,"Site_1","Site_1_backup","_20__C","_40_up","YES","YES","1255_S1_T1",NA,NA,"",NA,NA,NA,NA,0,0,0,0,0,0,0,0,"",NA,"Plate002","G3",NA,"","","https://hputnam.github.io/Putnam_Lab_Notebook/PocID_COTS_RAPID_Plate002_003/","1255_Plate002",NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","20/02/2023","1256","Recruit","S1","T1","POC_ID",2,1,1,0.5,0.5,"Site_1","Site_1_backup","_20__C","_40_up","YES","YES","1256_S1_T1",1.228,NA,"",NA,NA,NA,NA,0,1,0,0,0,0,0,0,"",NA,"Plate002","D3",NA,"","","https://hputnam.github.io/Putnam_Lab_Notebook/PocID_COTS_RAPID_Plate002_003/","1256_Plate002",NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","20/02/2023","1257","Recruit","S1","T1","POC_ID",2,1,1,0.5,0.5,"Site_1","Site_1_backup","_20__C","_40_up","YES","YES","1257_S1_T1",1.981,NA,"",NA,NA,NA,NA,0,0,0,1,0,0,0,0,"",NA,"Plate002","C5",NA,"","","https://hputnam.github.io/Putnam_Lab_Notebook/PocID_COTS_RAPID_Plate002_003/","1257_Plate002",NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","20/02/2023","1258","Recruit","S1","T1","POC_ID",1,1,0,0.5,NA,"Site_1",NA,"_20__C",NA,"NO","YES","1258_S1_T1",0.295,NA,"",NA,NA,NA,NA,0,0,0,1,0,0,0,0,"",NA,"Plate002","A11",NA,"","","https://hputnam.github.io/Putnam_Lab_Notebook/PocID_COTS_RAPID_Plate002_003/","1258_Plate002",NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","20/02/2023","1259","Adult","S1","T1","POC_ID",2,1,1,0.5,0.5,"Site_1","Site_1_backup","_20__C","_40_up","YES","YES","1259_S1_T1",NA,NA,"",NA,NA,NA,NA,0,0,0,0,0,0,0,0,"",NA,"Plate002","G4",NA,"","","https://hputnam.github.io/Putnam_Lab_Notebook/PocID_COTS_RAPID_Plate002_003/","1259_Plate002",NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","20/02/2023","1260","Recruit","S1","T1","POC_ID",1,1,0,0.5,NA,"Site_1",NA,"_20__C",NA,"NO","YES","1260_S1_T1",0.842,NA,"",NA,NA,NA,NA,0,1,0,0,0,0,0,0,"",NA,"Plate002","F6",NA,"","","https://hputnam.github.io/Putnam_Lab_Notebook/PocID_COTS_RAPID_Plate002_003/","1260_Plate002",NA,NA,NA,NA,NA,NA,NA,NA,NA
