WAYPOINT;POCS1T1S;-17,485215;-149,876519;-3315939,348;-6502058,421;;;;;;;;11,922414;;;2023-02-20T21:35:07Z;;;;;;;;;;;;;;;;20/02/2023 11:35
WAYPOINT;POCS1T1E;-17,484791;-149,876431;-3315861,415;-6502075,954;;;;;;;;2,299828;;;2023-02-20T21:44:38Z;;;;;;;;;;;;;;;;20/02/2023 11:44
WAYPOINT;POCS1;-17,485243;-149,876424;-3315937,233;-6502040,873;;;;;;;;14,797984;;;2023-02-20T21:30:47Z;;;;;;;;;;;;;;;;20/02/2023 11:30
WAYPOINT;POCS1T3E;-17,484803;-149,876041;-3315835,349;-6502011,647;;;;;;;;11,718892;;;2023-02-21T20:02:04Z;;;;;;;;;;;;;;;;21/02/2023 10:02
WAYPOINT;POCS1T3S;-17,485217;-149,876162;-3315913,97;-6502000,23;;;;;;;;11,720968;;;2023-02-21T20:04:35Z;;;;;;;;;;;;;;;;21/02/2023 10:04
WAYPOINT;POCS1T4E;-17,484888;-149,87586;-3315836,664;-6501975,838;;;;;;;;16,562174;;;2023-02-21T21:40:03Z;;;;;;;;;;;;;;;;21/02/2023 11:40
WAYPOINT;POCS1T4S;-17,485291;-149,87602;-3315916,237;-6501971,587;;;;;;;;16,684282;;;2023-02-21T21:22:29Z;;;;;;;;;;;;;;;;21/02/2023 11:22
WAYPOINT;POCS1T5E;-17,484934;-149,875772;-3315838,092;-6501958,077;;;;;;;;5,899794;;;2023-02-21T23:44:07Z;;;;;;;;;;;;;;;;21/02/2023 13:44
WAYPOINT;POCS1T5EE;-17,484923;-149,875744;-3315834,218;-6501954,35;;;;;;;;9,039841;;;2023-02-22T00:03:20Z;;;;;;;;;;;;;;;;21/02/2023 14:03
WAYPOINT;POCS1T5S;-17,485394;-149,875857;-3315921,887;-6501937,353;;;;;;;;6,699719;;;2023-02-21T23:50:36Z;;;;;;;;;;;;;;;;21/02/2023 13:50
WAYPOINT;POCS1T6E;-17,484958;-149,875494;-3315822,12;-6501911,078;;;;;;;;4,86087;;;2023-02-22T00:46:06Z;;;;;;;;;;;;;;;;21/02/2023 14:46
WAYPOINT;POCS1T6S;-17,485378;-149,875688;-3315907,012;-6501911,079;;;;;;;;6,112751;;;2023-02-22T00:37:49Z;;;;;;;;;;;;;;;;21/02/2023 14:37
